# file...... load_node_149.csv
# date...... Mon Jul 15 03:23:20 2019
# user...... (null)
# host...... (null)
# target.... meter 6938
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power
2016-07-01 07:42:00 CDT,+832733
2016-07-01 07:43:00 CDT,+848577
2016-07-01 07:44:00 CDT,+852401
2016-07-01 07:45:00 CDT,+889884
2016-07-01 07:46:00 CDT,+863563
2016-07-01 07:47:00 CDT,+838921
2016-07-01 07:48:00 CDT,+782282
2016-07-01 07:49:00 CDT,+809700
2016-07-01 07:50:00 CDT,+839338
2016-07-01 07:51:00 CDT,+832504
2016-07-01 07:52:00 CDT,+859877
2016-07-01 07:53:00 CDT,+842949
2016-07-01 07:54:00 CDT,+807256
2016-07-01 07:55:00 CDT,+836739
2016-07-01 07:56:00 CDT,+878511
2016-07-01 07:57:00 CDT,+827508
2016-07-01 07:58:00 CDT,+844072
2016-07-01 07:59:00 CDT,+811814
2016-07-01 08:00:00 CDT,+774289
2016-07-01 08:01:00 CDT,+804322
2016-07-01 08:02:00 CDT,+774062
2016-07-01 08:03:00 CDT,+733618
2016-07-01 08:04:00 CDT,+782478
2016-07-01 08:05:00 CDT,+734486
2016-07-01 08:06:00 CDT,+733555
2016-07-01 08:07:00 CDT,+782325
2016-07-01 08:08:00 CDT,+735963
2016-07-01 08:09:00 CDT,+730213
2016-07-01 08:10:00 CDT,+724147
2016-07-01 08:11:00 CDT,+705936
2016-07-01 08:12:00 CDT,+711738
2016-07-01 08:13:00 CDT,+726221
2016-07-01 08:14:00 CDT,+733766
2016-07-01 08:15:00 CDT,+787261
2016-07-01 08:16:00 CDT,+772604
2016-07-01 08:17:00 CDT,+776883
2016-07-01 08:18:00 CDT,+801007
2016-07-01 08:19:00 CDT,+866370
2016-07-01 08:20:00 CDT,+881273
2016-07-01 08:21:00 CDT,+861104
2016-07-01 08:22:00 CDT,+882317
2016-07-01 08:23:00 CDT,+880640
2016-07-01 08:24:00 CDT,+863223
2016-07-01 08:25:00 CDT,+958746
2016-07-01 08:26:00 CDT,+1.00341e+06
2016-07-01 08:27:00 CDT,+999753
2016-07-01 08:28:00 CDT,+912210
2016-07-01 08:29:00 CDT,+991420
2016-07-01 08:30:00 CDT,+492625
2016-07-01 08:31:00 CDT,+516105
2016-07-01 08:32:00 CDT,+523888
2016-07-01 08:33:00 CDT,+624364
2016-07-01 08:34:00 CDT,+634569
2016-07-01 08:35:00 CDT,+613806
2016-07-01 08:36:00 CDT,+600780
2016-07-01 08:37:00 CDT,+656438
2016-07-01 08:38:00 CDT,+670244
2016-07-01 08:39:00 CDT,+552607
2016-07-01 08:40:00 CDT,+575236
2016-07-01 08:41:00 CDT,+596732
2016-07-01 08:42:00 CDT,+573010
2016-07-01 08:43:00 CDT,+541240
2016-07-01 08:44:00 CDT,+563079
2016-07-01 08:45:00 CDT,+474210
2016-07-01 08:46:00 CDT,+461631
2016-07-01 08:47:00 CDT,+573979
2016-07-01 08:48:00 CDT,+595016
2016-07-01 08:49:00 CDT,+551713
2016-07-01 08:50:00 CDT,+639229
